.\Prefabs\Coin\coin1.png | (74,72)-> (76,72)
.\Room\2_NewBedRoom\Texture2D\c1_r2_lamp_3.png | (366,811)-> (368,812)
.\Room\2_NewBedRoom\Texture2D\c1_r2_lamp_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r2_light_2.png | (356,378)-> (356,380)
.\Room\2_NewBedRoom\Texture2D\c1_r2_light_3.png | (279,406)-> (280,408)
.\Room\2_NewBedRoom\Texture2D\c1_r2_light_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r2_mini_decoration_2.png | (382,619)-> (384,620)
.\Room\2_NewBedRoom\Texture2D\c1_r2_mini_decoration_3.png | (270,443)-> (272,444)
.\Room\2_NewBedRoom\Texture2D\c1_r2_mini_light_2.png | (114,721)-> (116,724)
.\Room\2_NewBedRoom\Texture2D\c1_r2_mini_light_3.png | (107,659)-> (108,660)
.\Room\2_NewBedRoom\Texture2D\c1_r2_picture_1.png | (499,413)-> (500,416)
.\Room\2_NewBedRoom\Texture2D\c1_r2_picture_2.png | (542,341)-> (544,344)
.\Room\2_NewBedRoom\Texture2D\c1_r2_picture_3.png | (457,412)-> (460,412)
.\Room\2_NewBedRoom\Texture2D\c1_r2_picture_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r2_sofa_1.png | (154,126)-> (156,128)
.\Room\2_NewBedRoom\Texture2D\c1_r2_sofa_2.png | (119,120)-> (120,120)
.\Room\2_NewBedRoom\Texture2D\c1_r2_sofa_3.png | (126,148)-> (128,148)
.\Room\2_NewBedRoom\Texture2D\c1_r2_table_0.png | (305,375)-> (308,376)
.\Room\2_NewBedRoom\Texture2D\c1_r2_table_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r2_top_0.png | (886,148)-> (888,148)
.\Room\2_NewBedRoom\Texture2D\c1_r2_top_1.png | (886,148)-> (888,148)
.\Room\2_NewBedRoom\Texture2D\c1_r2_top_2.png | (886,148)-> (888,148)
.\Room\2_NewBedRoom\Texture2D\c1_r2_top_3.png | (886,148)-> (888,148)
.\Room\2_NewBedRoom\Texture2D\c1_r2_tree_1.png | (258,411)-> (260,412)
.\Room\2_NewBedRoom\Texture2D\c1_r2_tree_2.png | (258,371)-> (260,372)
.\Room\2_NewBedRoom\Texture2D\c1_r2_tree_3.png | (278,387)-> (280,388)
.\Room\2_NewBedRoom\Texture2D\c1_r2_tree_left_1.png | (351,659)-> (352,660)
.\Room\2_NewBedRoom\Texture2D\c1_r2_tree_left_3.png | (426,699)-> (428,700)
.\Room\2_NewBedRoom\Texture2D\c1_r2_window_1.png | (75,209)-> (76,212)
.\Room\2_NewBedRoom\Texture2D\c1_r2_window_2.png | (75,207)-> (76,208)
.\Room\2_NewBedRoom\Texture2D\c1_r2_window_3.png | (75,208)-> (76,208)
.\Room\2_NewBedRoom\Texture2D\c1_r2_window_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r3_cupboard_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r3_floor_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r8_top_icon 1.png | (113,113)-> (116,116)
.\Room\2_NewBedRoom\Texture2D\c1_r9_sidetable_icon 1.png | (113,113)-> (116,116)
.\Room\3_Kitchen\Texture2D\c1_r3_dish_1.png | (204,125)-> (204,128)
.\Room\3_Kitchen\Texture2D\c1_r3_dish_2.png | (181,187)-> (184,188)
.\Room\3_Kitchen\Texture2D\c1_r3_dish_3.png | (194,157)-> (196,160)
.\Room\3_Kitchen\Texture2D\c1_r3_flavour_1.png | (210,165)-> (212,168)
.\Room\3_Kitchen\Texture2D\c1_r3_flavour_2.png | (196,211)-> (196,212)
.\Room\3_Kitchen\Texture2D\c1_r3_flavour_3.png | (241,272)-> (244,272)
.\Room\3_Kitchen\Texture2D\c1_r3_shelf_1.png | (226,468)-> (228,468)
.\Room\3_Kitchen\Texture2D\c1_r3_smallwindow_0.png | (254,431)-> (256,432)
.\Room\3_Kitchen\Texture2D\c1_r3_smallwindow_2.png | (248,431)-> (248,432)
.\Room\3_Kitchen\Texture2D\c1_r3_smallwindow_3.png | (250,432)-> (252,432)
.\Room\3_Kitchen\UI\c1_r3_bar_1_mini.png | (198,130)-> (200,132)
.\Room\3_Kitchen\UI\c1_r3_bar_2_mini.png | (197,132)-> (200,132)
.\Room\3_Kitchen\UI\c1_r3_bar_3_mini.png | (178,135)-> (180,136)
.\Room\3_Kitchen\UI\c1_r3_bar_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_chair_1_mini.png | (161,171)-> (164,172)
.\Room\3_Kitchen\UI\c1_r3_chair_2_mini.png | (157,164)-> (160,164)
.\Room\3_Kitchen\UI\c1_r3_chair_3_mini.png | (157,195)-> (160,196)
.\Room\3_Kitchen\UI\c1_r3_chair_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_cupboard_1_mini.png | (210,158)-> (212,160)
.\Room\3_Kitchen\UI\c1_r3_cupboard_2_mini.png | (209,158)-> (212,160)
.\Room\3_Kitchen\UI\c1_r3_cupboard_3_mini.png | (209,131)-> (212,132)
.\Room\3_Kitchen\UI\c1_r3_cupboard_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_curtain_1_mini.png | (187,192)-> (188,192)
.\Room\3_Kitchen\UI\c1_r3_curtain_2_mini.png | (181,177)-> (184,180)
.\Room\3_Kitchen\UI\c1_r3_curtain_3_mini.png | (174,171)-> (176,172)
.\Room\3_Kitchen\UI\c1_r3_curtain_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_decoration_1_mini.png | (88,173)-> (88,176)
.\Room\3_Kitchen\UI\c1_r3_decoration_2_mini.png | (109,188)-> (112,188)
.\Room\3_Kitchen\UI\c1_r3_decoration_3_mini.png | (110,151)-> (112,152)
.\Room\3_Kitchen\UI\c1_r3_decoration_icon.png | (113,113)-> (116,116)
.\Room\3_Kitchen\UI\c1_r3_dish_1_mini.png | (206,127)-> (208,128)
