.\Prefabs\Coin\coin1.png | (74,72)-> (76,72)
.\Room\8_Modern Kitchen\UI\c1_r8_pan_2_2_mini.png | (213,57)-> (216,60)
.\Room\8_Modern Kitchen\UI\c1_r8_pan_2_3_mini.png | (195,61)-> (196,64)
.\Room\8_Modern Kitchen\UI\c1_r8_pan_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_plate_1_mini.png | (204,126)-> (204,128)
.\Room\8_Modern Kitchen\UI\c1_r8_plate_2_mini.png | (204,126)-> (204,128)
.\Room\8_Modern Kitchen\UI\c1_r8_plate_3_mini.png | (204,126)-> (204,128)
.\Room\8_Modern Kitchen\UI\c1_r8_plate_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_rangehood_1_mini.png | (197,126)-> (200,128)
.\Room\8_Modern Kitchen\UI\c1_r8_rangehood_2_mini.png | (201,127)-> (204,128)
.\Room\8_Modern Kitchen\UI\c1_r8_rangehood_3_mini.png | (200,127)-> (200,128)
.\Room\8_Modern Kitchen\UI\c1_r8_rangehood_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_refrigerator_1_mini.png | (153,175)-> (156,176)
.\Room\8_Modern Kitchen\UI\c1_r8_refrigerator_2_mini.png | (154,174)-> (156,176)
.\Room\8_Modern Kitchen\UI\c1_r8_refrigerator_3_mini.png | (154,169)-> (156,172)
.\Room\8_Modern Kitchen\UI\c1_r8_refrigerator_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_seasoning_1_mini.png | (210,136)-> (212,136)
.\Room\8_Modern Kitchen\UI\c1_r8_seasoning_2_mini.png | (211,135)-> (212,136)
.\Room\8_Modern Kitchen\UI\c1_r8_seasoning_3_mini.png | (210,140)-> (212,140)
.\Room\8_Modern Kitchen\UI\c1_r8_seasoning_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_shelf_1_mini.png | (105,182)-> (108,184)
.\Room\8_Modern Kitchen\UI\c1_r8_shelf_2_mini.png | (132,175)-> (132,176)
.\Room\8_Modern Kitchen\UI\c1_r8_shelf_3_mini.png | (157,162)-> (160,164)
.\Room\8_Modern Kitchen\UI\c1_r8_shelf_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_soup_1_mini.png | (205,84)-> (208,84)
.\Room\8_Modern Kitchen\UI\c1_r8_soup_2_mini.png | (203,85)-> (204,88)
.\Room\8_Modern Kitchen\UI\c1_r8_soup_3_mini.png | (205,84)-> (208,84)
.\Room\8_Modern Kitchen\UI\c1_r8_soup_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_stoves_1_mini.png | (192,149)-> (192,152)
.\Room\8_Modern Kitchen\UI\c1_r8_stoves_2_mini.png | (191,153)-> (192,156)
.\Room\8_Modern Kitchen\UI\c1_r8_stoves_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_table_1_mini.png | (213,117)-> (216,120)
.\Room\8_Modern Kitchen\UI\c1_r8_table_3_mini.png | (213,111)-> (216,112)
.\Room\8_Modern Kitchen\UI\c1_r8_table_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_top_1_mini.png | (213,77)-> (216,80)
.\Room\8_Modern Kitchen\UI\c1_r8_top_2_mini.png | (208,69)-> (208,72)
.\Room\8_Modern Kitchen\UI\c1_r8_top_3_mini.png | (214,79)-> (216,80)
.\Room\8_Modern Kitchen\UI\c1_r8_top_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_trash_1_mini.png | (142,169)-> (144,172)
.\Room\8_Modern Kitchen\UI\c1_r8_trash_2_mini.png | (136,167)-> (136,168)
.\Room\8_Modern Kitchen\UI\c1_r8_trash_3_mini.png | (111,187)-> (112,188)
.\Room\8_Modern Kitchen\UI\c1_r8_trash_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_wall_1_mini.png | (189,149)-> (192,152)
.\Room\8_Modern Kitchen\UI\c1_r8_wall_2_mini.png | (189,149)-> (192,152)
.\Room\8_Modern Kitchen\UI\c1_r8_wall_3_mini.png | (189,149)-> (192,152)
.\Room\8_Modern Kitchen\UI\c1_r8_wall_icon.png | (113,113)-> (116,116)
.\Room\8_Modern Kitchen\UI\c1_r8_window_1_mini.png | (92,186)-> (92,188)
.\Room\8_Modern Kitchen\UI\c1_r8_window_2_mini.png | (97,190)-> (100,192)
.\Room\8_Modern Kitchen\UI\c1_r8_window_3_mini.png | (92,185)-> (92,188)
.\Room\8_Modern Kitchen\UI\c1_r8_window_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_balloon_2_mini.png | (125,209)-> (128,212)
.\Room\9_Sky Restaurant\UI\c1_r9_balloon_3_mini.png | (107,201)-> (108,204)
.\Room\9_Sky Restaurant\UI\c1_r9_balloon_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_bg_1_mini.png | (207,104)-> (208,104)
.\Room\9_Sky Restaurant\UI\c1_r9_bg_2_mini.png | (207,104)-> (208,104)
.\Room\9_Sky Restaurant\UI\c1_r9_bg_3_mini.png | (207,104)-> (208,104)
.\Room\9_Sky Restaurant\UI\c1_r9_bg_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_candle_1_mini.png | (121,176)-> (124,176)
.\Room\9_Sky Restaurant\UI\c1_r9_candle_2_mini.png | (106,201)-> (108,204)
.\Room\9_Sky Restaurant\UI\c1_r9_candle_3_mini.png | (163,176)-> (164,176)
.\Room\9_Sky Restaurant\UI\c1_r9_candle_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_chairs_1_mini.png | (205,105)-> (208,108)
.\Room\9_Sky Restaurant\UI\c1_r9_chairs_2_mini.png | (214,118)-> (216,120)
.\Room\9_Sky Restaurant\UI\c1_r9_chairs_3_mini.png | (214,117)-> (216,120)
.\Room\9_Sky Restaurant\UI\c1_r9_chairs_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_floor_1_mini.png | (207,104)-> (208,104)
.\Room\9_Sky Restaurant\UI\c1_r9_floor_2_mini.png | (207,104)-> (208,104)
.\Room\9_Sky Restaurant\UI\c1_r9_floor_3_mini.png | (207,104)-> (208,104)
.\Room\9_Sky Restaurant\UI\c1_r9_floor_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_flower_3_mini.png | (89,204)-> (92,204)
.\Room\9_Sky Restaurant\UI\c1_r9_flower_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_food_1_mini.png | (174,165)-> (176,168)
.\Room\9_Sky Restaurant\UI\c1_r9_food_2_mini.png | (178,173)-> (180,176)
.\Room\9_Sky Restaurant\UI\c1_r9_food_3_mini.png | (163,172)-> (164,172)
.\Room\9_Sky Restaurant\UI\c1_r9_food_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_grass_1_mini.png | (170,105)-> (172,108)
.\Room\9_Sky Restaurant\UI\c1_r9_grass_3_mini.png | (170,111)-> (172,112)
.\Room\9_Sky Restaurant\UI\c1_r9_grass_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_handrail_1_mini.png | (168,118)-> (168,120)
.\Room\9_Sky Restaurant\UI\c1_r9_handrail_3_mini.png | (168,107)-> (168,108)
.\Room\9_Sky Restaurant\UI\c1_r9_handrail_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_lamp_1_mini.png | (59,191)-> (60,192)
.\Room\9_Sky Restaurant\UI\c1_r9_lamp_2_mini.png | (37,189)-> (40,192)
.\Room\9_Sky Restaurant\UI\c1_r9_lamp_3_mini.png | (58,199)-> (60,200)
.\Room\9_Sky Restaurant\UI\c1_r9_lamp_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_light_1_1_mini.png | (188,93)-> (188,96)
.\Room\9_Sky Restaurant\UI\c1_r9_light_1_2_mini.png | (187,88)-> (188,88)
.\Room\9_Sky Restaurant\UI\c1_r9_light_2_1_mini.png | (188,93)-> (188,96)
.\Room\9_Sky Restaurant\UI\c1_r9_light_2_2_mini.png | (187,88)-> (188,88)
.\Room\9_Sky Restaurant\UI\c1_r9_light_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_music_1_mini.png | (77,201)-> (80,204)
.\Room\9_Sky Restaurant\UI\c1_r9_music_2_mini.png | (63,147)-> (64,148)
.\Room\9_Sky Restaurant\UI\c1_r9_music_3_mini.png | (69,201)-> (72,204)
.\Room\9_Sky Restaurant\UI\c1_r9_music_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_pan_1_mini.png | (209,113)-> (212,116)
.\Room\9_Sky Restaurant\UI\c1_r9_pan_2_mini.png | (176,107)-> (176,108)
.\Room\9_Sky Restaurant\UI\c1_r9_pan_3_mini.png | (202,131)-> (204,132)
.\Room\9_Sky Restaurant\UI\c1_r9_pan_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_parasol_1_mini.png | (190,174)-> (192,176)
.\Room\9_Sky Restaurant\UI\c1_r9_parasol_2_mini.png | (182,177)-> (184,180)
.\Room\9_Sky Restaurant\UI\c1_r9_parasol_3_mini.png | (209,175)-> (212,176)
.\Room\9_Sky Restaurant\UI\c1_r9_parasol_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_pavilion_1_mini.png | (200,173)-> (200,176)
.\Room\9_Sky Restaurant\UI\c1_r9_pavilion_2_mini.png | (206,176)-> (208,176)
.\Room\9_Sky Restaurant\UI\c1_r9_pavilion_3_mini.png | (198,163)-> (200,164)
.\Room\9_Sky Restaurant\UI\c1_r9_pavilion_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_sidetable_1_mini.png | (152,175)-> (152,176)
.\Room\9_Sky Restaurant\UI\c1_r9_sidetable_2_mini.png | (159,192)-> (160,192)
.\Room\9_Sky Restaurant\UI\c1_r9_sidetable_3_mini.png | (150,183)-> (152,184)
.\Room\9_Sky Restaurant\UI\c1_r9_sidetable_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_sofa_1_1_mini.png | (186,142)-> (188,144)
.\Room\9_Sky Restaurant\UI\c1_r9_sofa_1_2_mini.png | (173,135)-> (176,136)
.\Room\9_Sky Restaurant\UI\c1_r9_sofa_1_3_mini.png | (190,153)-> (192,156)
.\Room\9_Sky Restaurant\UI\c1_r9_sofa_2_1_mini.png | (186,142)-> (188,144)
.\Room\9_Sky Restaurant\UI\c1_r9_sofa_2_2_mini.png | (173,135)-> (176,136)
.\Room\9_Sky Restaurant\UI\c1_r9_sofa_2_3_mini.png | (190,153)-> (192,156)
.\Room\9_Sky Restaurant\UI\c1_r9_sofa_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_table_2_mini.png | (202,118)-> (204,120)
.\Room\9_Sky Restaurant\UI\c1_r9_table_3_mini.png | (214,156)-> (216,156)
.\Room\9_Sky Restaurant\UI\c1_r9_table_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_tree_1_mini.png | (135,185)-> (136,188)
.\Room\9_Sky Restaurant\UI\c1_r9_tree_2_mini.png | (134,203)-> (136,204)
.\Room\9_Sky Restaurant\UI\c1_r9_tree_3_mini.png | (132,195)-> (132,196)
.\Room\9_Sky Restaurant\UI\c1_r9_tree_icon.png | (113,113)-> (116,116)
.\Room\9_Sky Restaurant\UI\c1_r9_vase_1_mini.png | (187,153)-> (188,156)
.\Room\9_Sky Restaurant\UI\c1_r9_vase_2_mini.png | (169,189)-> (172,192)
.\Room\9_Sky Restaurant\UI\c1_r9_vase_3_mini.png | (175,148)-> (176,148)
.\Room\9_Sky Restaurant\UI\c1_r9_vase_icon.png | (113,113)-> (116,116)
.\Room\PhongTam\Final\bath_room_bantreo_1.png | (668,362)-> (668,364)
.\Room\PhongTam\Final\bath_room_bantreo_2.png | (669,342)-> (672,344)
.\Room\PhongTam\Final\bath_room_bantreo_3.png | (665,409)-> (668,412)
.\Room\PhongTam\Final\bath_room_ban_1.png | (381,477)-> (384,480)
.\Room\PhongTam\Final\bath_room_ban_2.png | (375,450)-> (376,452)
.\Room\PhongTam\Final\bath_room_ban_3.png | (346,599)-> (348,600)
.\Room\PhongTam\Final\bath_room_bontam_1.png | (921,480)-> (924,480)
.\Room\PhongTam\Final\bath_room_bontam_2.png | (917,577)-> (920,580)
.\Room\PhongTam\Final\bath_room_cay_1.png | (413,439)-> (416,440)
.\Room\PhongTam\Final\bath_room_cay_3.png | (469,633)-> (472,636)
.\Room\PhongTam\Final\bath_room_cua_1.png | (1223,1720)-> (1224,1720)
.\Room\PhongTam\Final\bath_room_decor_1.png | (344,497)-> (344,500)
.\Room\PhongTam\Final\bath_room_decor_2.png | (437,343)-> (440,344)
.\Room\PhongTam\Final\bath_room_decor_3.png | (350,442)-> (352,444)
.\Room\PhongTam\Final\bath_room_ghe_1.png | (337,536)-> (340,536)
.\Room\PhongTam\Final\bath_room_ghe_2.png | (525,533)-> (528,536)
.\Room\PhongTam\Final\bath_room_ghe_3.png | (620,601)-> (620,604)
.\Room\PhongTam\Final\bath_room_gioao_3.png | (331,287)-> (332,288)
.\Room\PhongTam\Final\bath_room_mocao_1.png | (310,587)-> (312,588)
.\Room\PhongTam\Final\bath_room_mocao_2.png | (260,774)-> (260,776)
.\Room\PhongTam\Final\bath_room_nhatam_1.png | (689,1124)-> (692,1124)
.\Room\PhongTam\Final\bath_room_nhatam_2.png | (689,1143)-> (692,1144)
.\Room\PhongTam\Final\bath_room_nhatam_3.png | (679,1104)-> (680,1104)
.\Room\PhongTam\Final\bath_room_optuong_0.png | (747,943)-> (748,944)
.\Room\PhongTam\Final\bath_room_optuong_1.png | (770,966)-> (772,968)
.\Room\PhongTam\Final\bath_room_optuong_2.png | (778,976)-> (780,976)
.\Room\PhongTam\Final\bath_room_optuong_3.png | (797,991)-> (800,992)
.\Room\PhongTam\Final\bath_room_san_0.png | (3648,751)-> (3648,752)
.\Room\PhongTam\Final\bath_room_san_1.png | (3648,751)-> (3648,752)
.\Room\PhongTam\Final\bath_room_san_2.png | (3648,751)-> (3648,752)
.\Room\PhongTam\Final\bath_room_san_3.png | (3648,751)-> (3648,752)
.\Room\PhongTam\Final\bath_room_tham_1.png | (699,258)-> (700,260)
.\Room\PhongTam\Final\bath_room_tham_2.png | (1022,250)-> (1024,252)
.\Room\PhongTam\Final\bath_room_tham_3.png | (1012,241)-> (1012,244)
.\Room\PhongTam\Final\bath_room_tranh_1.png | (330,487)-> (332,488)
.\Room\PhongTam\Final\bath_room_tranh_2.png | (342,525)-> (344,528)
.\Room\PhongTam\Final\bath_room_tranh_3.png | (349,493)-> (352,496)
.\Room\PhongTam\Final\bath_room_tran_0.png | (3772,477)-> (3772,480)
.\Room\PhongTam\Final\bath_room_tran_1.png | (3772,477)-> (3772,480)
.\Room\PhongTam\Final\bath_room_tran_2.png | (3772,477)-> (3772,480)
.\Room\PhongTam\Final\bath_room_tran_3.png | (3772,477)-> (3772,480)
.\Room\PhongTam\Final\bath_room_tuong_0.png | (1469,2160)-> (1472,2160)
.\Room\PhongTam\Final\bath_room_tuong_1.png | (1469,2160)-> (1472,2160)
.\Room\PhongTam\Final\bath_room_tuong_2.png | (1469,2160)-> (1472,2160)
.\Room\PhongTam\Final\bath_room_tuong_3.png | (1469,2160)-> (1472,2160)
.\Room\PhongTam\Final\c1_r5_paper_icon 1.png | (113,113)-> (116,116)
.\Room\PhongTam\Final\chair_icon.png | (113,113)-> (116,116)
.\Room\PhongTam\Final\table_icon.png | (113,113)-> (116,116)
.\Room\PhongTam\Final\z2636146326814_8c573338a89eb625b12fec0d6ce8cadc.jpg | (3840,2160)-> (3840,2160)
.\Texture2D\Circle1.png | (158,158)-> (160,160)
.\Texture2D\Circle2.png | (158,158)-> (160,160)
.\Texture2D\Circle3.png | (158,158)-> (160,160)
.\Texture2D\g_levelcomplete_l.png | (75,106)-> (76,108)
.\Texture2D\text_c.png | (66,104)-> (68,104)
.\Texture2D\text_i.png | (33,98)-> (36,100)
.\Texture2D\You Win\text-i.png | (43,130)-> (44,132)
.\Texture2D\You Win\text-n.png | (105,131)-> (108,132)
.\Texture2D\You Win\text-o.png | (114,131)-> (116,132)
.\Texture2D\You Win\text-u.png | (101,131)-> (104,132)
.\Texture2D\You Win\text-w.png | (158,130)-> (160,132)
.\Texture2D\You Win\text-y.png | (106,130)-> (108,132)
.\UI\1811_6.png | (161,419)-> (164,420)
.\UI\ClaimedButton.png | (420,131)-> (420,132)
.\UI\free_gems.png | (388,62)-> (388,64)
.\UI\gem7.png | (132,86)-> (132,88)
.\UI\Play button.png | (204,207)-> (204,208)
.\UI\pop up2.png | (2413,1758)-> (2416,1760)
.\UI\view fix.png | (200,205)-> (200,208)
.\UI\weekly.png | (820,189)-> (820,192)
.\UI\Close button\btn blue.png | (441,112)-> (444,112)
.\UI\Close button\CANCEL.png | (66,67)-> (68,68)
.\UI\Close button\Xclose.png | (102,102)-> (104,104)
.\UI\DailyBonus\daily - today.png | (230,239)-> (232,240)
.\UI\DailyBonus\dailybonus icon fix.png | (193,205)-> (196,208)
.\UI\DailyBonus\day7.png | (238,574)-> (240,576)
.\UI\DailyBonus\day7select.png | (254,590)-> (256,592)
.\UI\DailyBonus\lastfreegems.png | (278,258)-> (280,260)
.\UI\decorScene\board gem.png | (303,93)-> (304,96)
.\UI\decorScene\facebook.png | (490,490)-> (492,492)
.\UI\decorScene\FREE GEMS.png | (358,69)-> (360,72)
.\UI\decorScene\freegem icon.png | (309,238)-> (312,240)
.\UI\decorScene\freegems fix.png | (309,253)-> (312,256)
.\UI\decorScene\heart 1.png | (93,88)-> (96,88)
.\UI\decorScene\heart.png | (93,88)-> (96,88)
.\UI\decorScene\repair.png | (290,109)-> (292,112)
.\UI\Free Gem\7 gems.png | (134,274)-> (136,276)
.\UI\Free Gem\7gems claim.png | (267,546)-> (268,548)
